audio_path,species,duration_s,has_annotation
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_170345.wav,sb,32.8562358276644,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_170419.wav,sb,43.32843537414966,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082044.wav,sb,22.360816326530614,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082136.wav,sb,35.65424036281179,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082323.wav,sb,28.003265306122447,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082542.wav,sb,42.22548752834467,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082623.wav,sb,51.478639455782314,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082715.wav,sb,25.797369614512473,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082740.wav,sb,39.77578231292517,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082820.wav,sb,38.91664399092971,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_082900.wav,sb,31.741678004535146,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_083013.wav,sb,44.51265306122449,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_083055.wav,sb,35.22467120181406,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_083134.wav,sb,39.613242630385486,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_083217.wav,sb,45.41823129251701,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_083301.wav,sb,28.096145124716553,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240516_083349.wav,sb,38.47546485260771,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_074519.wav,sb,31.695238095238096,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_074550.wav,sb,30.232380952380954,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_074626.wav,sb,31.463038548752834,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_074715.wav,sb,36.10702947845805,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_074749.wav,sb,31.30049886621315,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_074836.wav,sb,40.751020408163264,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_074914.wav,sb,30.511020408163265,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075031.wav,sb,22.31437641723356,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075140.wav,sb,30.394920634920634,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075210.wav,sb,40.58848072562358,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075416.wav,sb,31.277278911564625,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075505.wav,sb,26.02956916099773,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075603.wav,sb,47.69378684807256,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075650.wav,sb,32.69369614512472,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075722.wav,sb,30.603900226757368,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075813.wav,sb,36.060589569160996,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075850.wav,sb,31.463038548752834,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_075919.wav,sb,30.325260770975056,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_080011.wav,sb,30.905759637188208,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_080056.wav,sb,31.60235827664399,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_080125.wav,sb,30.37170068027211,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_080157.wav,sb,30.139501133786847,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_080227.wav,sb,30.511020408163265,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_080301.wav,sb,36.52498866213152,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_080348.wav,sb,31.184399092970523,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240521_080418.wav,sb,29.95374149659864,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071103.wav,sb,51.55990929705215,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071154.wav,sb,35.31755102040816,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071230.wav,sb,39.21850340136054,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071313.wav,sb,46.672108843537416,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071357.wav,sb,39.9847619047619,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071437.wav,sb,39.77578231292517,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071528.wav,sb,58.212426303854876,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071623.wav,sb,33.78503401360544,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071702.wav,sb,42.53895691609977,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071743.wav,sb,50.80526077097505,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071833.wav,sb,35.48009070294785,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_071921.wav,sb,44.18757369614512,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072004.wav,sb,43.885714285714286,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072050.wav,sb,31.834557823129252,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072126.wav,sb,36.73396825396826,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072208.wav,sb,36.02575963718821,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072256.wav,sb,38.568344671201814,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072333.wav,sb,33.28580498866213,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072411.wav,sb,55.93687074829932,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072513.wav,sb,51.316099773242634,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072605.wav,sb,33.041995464852604,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072648.wav,sb,55.77433106575964,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_072748.wav,sb,30.905759637188208,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240522_073224.wav,sb,35.72390022675737,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240528_161508.wav,sb,75.51129251700681,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090212.wav,sb,34.49324263038549,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090246.wav,sb,37.6627664399093,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090324.wav,sb,41.703038548752836,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090405.wav,sb,35.75873015873016,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090441.wav,sb,62.09015873015873,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090545.wav,sb,44.76807256235828,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090706.wav,sb,31.428208616780044,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090737.wav,sb,31.230839002267572,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240529_090808.wav,sb,30.67356009070295,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240531_115455.wav,sb,31.068299319727892,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240531_115533.wav,sb,30.882539682539683,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240531_115602.wav,sb,33.3902947845805,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240531_115635.wav,sb,32.90267573696145,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240531_115709.wav,sb,36.22312925170068,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063312.wav,sb,29.76798185941043,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063336.wav,sb,30.511020408163265,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063339.wav,sb,33.90113378684807,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063416.wav,sb,25.68126984126984,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063509.wav,sb,29.6518820861678,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063554.wav,sb,31.068299319727892,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063604.wav,sb,34.92281179138322,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063639.wav,sb,28.490884353741496,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063641.wav,sb,31.695238095238096,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063823.wav,sb,31.13795918367347,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240601_063824.wav,sb,33.0768253968254,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240609_071626.wav,sb,36.29278911564626,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240615_120225.wav,sb,31.13795918367347,True
