split,grabación,clase,score,inicio,fin,f mín (Hz),f máx (Hz),duración (s),banda (Hz),compatible,hueco a su clase (s),raw_estado,raw_clase,raw_call
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/spc,0.2867037355899811,63.600227,63.72769,71.01936370921777,14252.83978486998,0.12746626,14181.820421160763,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/spc,0.2349332720041275,64.5502,64.68833,72.78406460656217,15396.322121600373,0.13813426,15323.538056993812,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/spc,0.18449530005455017,64.55687,64.686646,300.0545683785511,15150.100992196236,0.12977958,14850.046423817685,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/spc,0.14303888380527496,64.97122,65.12471,74.39722215989661,14472.526510553802,0.15348306,14398.129288393906,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/spc,0.11579765379428864,64.97266,65.11359,54.617597735467285,14216.745208288516,0.14093292,14162.127610553049,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/pcc,0.3784272074699402,66.00193,66.228935,6419.03780015577,12356.902745128458,0.22700465,5937.864944972688,False,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/ppc,0.1128053218126297,66.09493,66.22479,6760.4637424702105,11974.828763101617,0.12985504,5214.365020631407,True,2.5850982666015625,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/pcc,0.4708043336868286,76.5,77.11781,8122.9148457877445,11909.082064483404,0.61781526,3786.1672186956594,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0712.wav,sb/spc,0.11568070948123932,17.514576,17.650343,255.83950924411118,13908.579038558279,0.13576841,13652.739529314167,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0712.wav,sb/spc,0.21206985414028168,20.81847,20.9594,25.000000000000068,11869.520046827707,0.14092934,11844.520046827707,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0712.wav,sb/pcc,0.3598288595676422,34.902534,35.84635,8262.371565642912,11098.600099208657,0.9438157,2836.2285335657452,False,11.477886199951172,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0712.wav,sb/pcc,0.31093278527259827,62.663742,63.0,7373.163592123884,11686.311776936995,0.33625925,4313.148184813111,True,1.9963645935058594,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0712.wav,aa/gc,0.11214981973171234,90.10234,90.20084,509.12304131206275,2803.7733211632353,0.09850377,2294.6502798511724,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0713.wav,sb/pcc,0.35678350925445557,14.623864,16.400444,13839.086677461532,22050.000000000004,1.7765794,8210.913322538472,False,0.0,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0713.wav,sb/pcc,0.8721079230308533,17.399298,18.0,7854.266812909543,11651.677364963092,0.60070217,3797.4105520535495,True,0.0,limpia,sb/pcc,PCC
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0713.wav,sb/ppc,0.14098143577575684,25.955761,26.1072,9353.003771954269,15555.368172566481,0.15144002,6202.364400612212,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0713.wav,sb/pcc,0.1648290753364563,43.920948,44.342495,8720.241589085645,11458.190998541717,0.42154527,2737.9494094560723,False,18.79486656188965,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0824.wav,as/bc,0.17277586460113525,1.9928895,2.6376019,25.000000000000068,256.8012519691906,0.6447122,231.80125196919056,False,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0824.wav,sb/pcc,0.2574705183506012,14.439439,15.632798,7045.929834129724,10879.386090936237,1.1933591,3833.456256806513,True,6.476941108703613,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0824.wav,sm/cc,0.43878093361854553,21.519547,21.577797,411.90996540445843,1356.886762063399,0.05824998,944.9767966589404,False,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0824.wav,sb/ppc,0.7176499962806702,31.303488,31.496656,11342.482495347049,14888.851689394287,0.19316912,3546.369194047238,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0824.wav,sb/ppc,0.6736176609992981,31.3037,31.565575,11289.685710722206,15008.25323122453,0.26187444,3718.5675205023235,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0824.wav,sb/ppc,0.25768205523490906,31.501255,31.6649,11649.579349484151,15010.576538386285,0.16364422,3360.9971889021344,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0831.wav,sb/pcc,0.2301110029220581,4.5,5.3144546,7057.770027063478,9854.357830642251,0.8144544,2796.5878035787737,False,0.12873363494873047,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0831.wav,lw/cs,0.26633742451667786,56.09121,56.712425,8496.850075443519,10224.523817044588,0.62121606,1727.6737416010692,False,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0831.wav,sb/pcc,0.14612561464309692,56.092976,57.573204,7979.3397034941445,11389.453602409822,1.4802264,3410.113898915677,True,26.932729721069336,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0831.wav,lw/cs,0.4931032359600067,56.737305,56.998276,8706.893897018126,9896.001221073917,0.26097357,1189.1073240557907,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sm/cc,0.25748318433761597,1.5,1.5484204,286.61908716051653,3711.8115421887915,0.04842039,3425.1924550282747,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.15899010002613068,1.9903634,2.1844757,107.87795938403144,14591.744907490358,0.19411218,14483.866948106326,True,0.8723766803741455,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.5851143598556519,3.8709462,4.037223,206.42702410182733,16178.470585473864,0.16627693,15972.043561372036,True,1.1549038887023926,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.5966220498085022,3.8713925,4.0428405,241.00951245771665,15274.164380763039,0.17144805,15033.154868305322,True,1.1492862701416016,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sm/cc,0.23907755315303802,9.298002,9.411884,144.73175777721508,5952.110763718062,0.113882124,5807.3790059408475,False,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.5030474066734314,11.8040695,11.967945,7069.09848721457,10981.638662518613,0.16387582,3912.5401753040433,True,1.4484996795654297,limpia,sb/pcc,PCC
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.2938334047794342,12.588123,12.793189,25.000000000000068,18084.781088451105,0.20506579,18059.781088451105,True,7.240399360656738,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.24065108597278595,12.589686,12.793838,25.000000000000068,17662.43286843948,0.20415115,17637.43286843948,True,7.241962432861328,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.19099347293376923,13.318958,13.5,249.55191880478748,22050.000000000004,0.18104231,21800.448081195216,False,7.971234321594238,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.40944287180900574,13.355748,13.552207,152.55959564622557,19753.32978399903,0.1964593,19600.770188352806,True,7.922371864318848,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.29751548171043396,13.5,13.579086,574.5324783291823,19842.105167142927,0.07908639,19267.572688813743,False,7.8954925537109375,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.12013117223978043,13.50099,13.569651,8606.86624699657,15723.864505350342,0.06866052,7116.998258353773,False,0.0,limpia,sb/ppc,PPC
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.296032190322876,14.171854,14.322139,160.33449226503427,17066.05917385171,0.15028471,16905.724681586675,True,7.152440071105957,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.46195363998413086,14.175465,14.341089,133.11411544574335,17076.104786182008,0.16562533,16942.990670736264,True,7.133489608764648,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.4288821816444397,19.691122,19.895725,57.20748761764918,18770.9523297172,0.2046032,18713.744842099553,True,1.5788536071777344,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.38743114471435547,20.137442,20.367481,25.000000000000068,21299.15827822024,0.23003805,21274.15827822024,False,1.1070976257324219,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.4015834927558899,20.13901,20.360367,25.000000000000068,22050.000000000004,0.2213577,22025.000000000004,False,1.1142120361328125,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.2974437177181244,22.421463,22.561077,177.12255035059775,16692.954287268327,0.13961434,16515.831736917728,True,0.7766704559326172,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.5355382561683655,28.54059,28.72202,25.000000000000068,20727.59783723963,0.18142891,20702.59783723963,True,6.8957977294921875,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.2522395849227905,29.193495,29.419605,8664.405571878766,11978.958573873158,0.22611058,3314.5530019943926,True,6.646463394165039,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.4659491777420044,29.199879,29.423317,27.645757734256016,21590.754139670542,0.22343802,21563.108381936287,False,7.555086135864258,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,as/bc,0.15827393531799316,42.71855,43.060852,108.38673592858645,650.3102588446878,0.34229887,541.9235229161014,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.15807805955410004,48.54108,48.648914,8737.821773666501,12441.137806572062,0.10783473,3703.316032905561,True,25.994049072265625,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/pcc,0.1920403391122818,50.615368,51.08934,8310.393374534038,12505.69787188552,0.47397494,4195.3044973514825,True,1.7735939025878906,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/pcc,0.12458404898643494,50.619633,51.0,8307.373386366535,12152.205498505422,0.3803687,3844.832112138887,True,1.7778587341308594,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.18044961988925934,51.0025,51.06902,7815.11882633554,12261.221659414114,0.06651881,4446.102833078574,False,28.455467224121094,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.13696163892745972,54.637672,54.81712,11090.237112001312,14047.586353990631,0.17944533,2957.349241989319,True,32.090641021728516,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.2898494601249695,56.829094,56.993294,9159.962190714137,12159.985074685408,0.16420197,3000.022883971271,True,34.28206253051758,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.26157474517822266,58.820118,59.026733,4825.759697971732,9035.679705990586,0.20661503,4209.920008018854,True,36.27308654785156,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.35229089856147766,61.795273,61.92555,126.75563697322652,16501.335237179344,0.13027543,16374.579600206118,True,40.150482177734375,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.18284493684768677,62.375023,62.46605,7152.648632796239,8608.196878748467,0.09102434,1455.5482459522282,False,39.8279914855957,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.29275837540626526,63.395256,63.529537,234.55807903437454,16530.760679921674,0.13428354,16296.2026008873,True,41.750465393066406,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.20757347345352173,64.61355,64.77072,69.89858598581897,15689.611327833645,0.15717338,15619.712741847827,True,42.96875762939453,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/ppc,0.4486883878707886,68.62458,68.72789,8350.634072060155,10463.561825421451,0.10331082,2112.9277533612967,True,46.07754898071289,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_080933.wav,sb/spc,0.45952466130256653,83.39849,83.52519,76.81816852310925,14414.34666969346,0.12669754,14337.52850117035,True,61.753700256347656,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/pcc,0.3278559446334839,0.0012393147,0.41867733,5381.24084888913,10099.628166666205,0.417438,4718.387317777076,True,19.916316986083984,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/spc,0.5692458748817444,0.74696267,0.9364096,88.51649360465434,15215.166121936853,0.18944693,15126.649628332198,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.5757730007171631,2.4411159,2.6530862,4044.924322236064,10001.791643063083,0.21197033,5956.867320827019,True,0.16704535484313965,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.575639009475708,2.446549,2.6637473,4170.822208996679,9742.160863994366,0.21719849,5571.338654997687,True,0.17247843742370605,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/spc,0.47593405842781067,3.2184975,3.3905897,63.51553374550003,13936.695583086159,0.17209223,13873.180049340659,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/spc,0.13492773473262787,3.2197828,3.396387,162.37269731354016,12194.937588520414,0.17660451,12032.564891206874,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.7736821174621582,3.7100391,4.2350125,7511.095284837832,10131.076312319508,0.5249734,2619.9810274816764,True,0.33531928062438965,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.8008852005004883,3.719549,4.2367444,7523.7411107392645,10007.86704125144,0.5171955,2484.1259305121757,True,0.34482908248901367,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.1947375237941742,4.8203573,5.02602,3816.8873571677113,7435.121314714184,0.20566285,3618.233957546473,True,0.6691064834594727,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/pcc,0.5822687149047852,5.6276174,7.4243426,5014.808418943532,10092.18385503788,1.7967253,5077.375436094348,False,12.910650253295898,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.6985943913459778,6.0,6.3116193,7221.643771677651,9857.050747436084,0.3116193,2635.406975758433,True,0.0,limpia,sb/ppc,LPC
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.7621373534202576,7.5004315,7.7371683,4285.399469934927,9309.108146698532,0.23673666,5023.708676763606,True,0.1288447380065918,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/pcc,0.15244907140731812,7.508265,7.7388415,4217.630901592612,9510.743616273025,0.23057686,5293.112714680413,False,12.596151351928711,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.7528052926063538,7.519082,7.7172246,4370.136558942412,8599.6638735433,0.19814229,4229.5273146008885,True,0.14749526977539062,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231228_081246.wav,sb/ppc,0.2552627921104431,7.539053,7.744147,8835.620897941904,13308.998579084644,0.20509386,4473.37768114274,True,0.1674661636352539,sin fila,,
